date,quarter_hour_start,quarter_hour_end,activated_volume_mw,available_capacity_mw,marginal_price,product_code
2024-09-01,00:00,00:15,4.364,6.0,-44.74,NEG_001
2024-09-01,00:15,00:30,10.052,11.0,-38.58,NEG_002
2024-09-01,00:30,00:45,53.048,58.0,-1.04,NEG_003
2024-09-01,00:45,01:00,118.184,121.0,48.0,NEG_004
2024-09-01,01:00,01:15,41.14,44.0,18.61,NEG_005
2024-09-01,01:15,01:30,67.368,68.0,44.1,NEG_006
2024-09-01,01:30,01:45,35.104,38.0,18.61,NEG_007
2024-09-01,01:45,02:00,22.564,23.0,50.0,NEG_008
2024-09-01,02:00,02:15,4.852,6.0,8.34,NEG_009
2024-09-01,02:15,02:30,0.0,0.0,,NEG_010
2024-09-01,02:30,02:45,0.32,3.0,0.0,NEG_011
2024-09-01,02:45,03:00,12.712,15.0,61.57,NEG_012
2024-09-01,03:00,03:15,9.108,13.0,50.0,NEG_013
2024-09-01,03:15,03:30,30.784,32.0,113.0,NEG_014
2024-09-01,03:30,03:45,11.78,14.0,50.0,NEG_015
2024-09-01,03:45,04:00,9.016,14.0,61.57,NEG_016
2024-09-01,04:00,04:15,0.516,1.0,17.34,NEG_017
2024-09-01,04:15,04:30,0.0,0.0,,NEG_018
2024-09-01,04:30,04:45,0.048,2.0,0.0,NEG_019
2024-09-01,04:45,05:00,0.0,0.0,,NEG_020
2024-09-01,05:00,05:15,0.012,2.0,0.0,NEG_021
2024-09-01,05:15,05:30,0.0,0.0,,NEG_022
2024-09-01,05:30,05:45,0.316,1.0,0.0,NEG_023
2024-09-01,05:45,06:00,0.044,2.0,0.0,NEG_024
2024-09-01,06:00,06:15,0.0,0.0,,NEG_025
2024-09-01,06:15,06:30,0.056,1.0,0.01,NEG_026
2024-09-01,06:30,06:45,0.708,1.0,-58.48,NEG_027
2024-09-01,06:45,07:00,0.9,1.0,0.01,NEG_028
2024-09-01,07:00,07:15,0.0,0.0,,NEG_029
2024-09-01,07:15,07:30,0.0,0.0,,NEG_030
2024-09-01,07:30,07:45,0.0,0.0,,NEG_031
2024-09-01,07:45,08:00,0.0,0.0,,NEG_032
2024-09-01,08:00,08:15,0.788,1.0,-1.1,NEG_033
2024-09-01,08:15,08:30,0.0,0.0,,NEG_034
2024-09-01,08:30,08:45,0.0,0.0,,NEG_035
2024-09-01,08:45,09:00,0.0,0.0,,NEG_036
2024-09-01,09:00,09:15,0.0,0.0,,NEG_037
2024-09-01,09:15,09:30,0.0,0.0,,NEG_038
2024-09-01,09:30,09:45,4.632,16.0,33.0,NEG_039
2024-09-01,09:45,10:00,0.492,1.0,0.01,NEG_040
2024-09-01,10:00,10:15,0.808,1.0,-58.47,NEG_041
2024-09-01,10:15,10:30,0.312,1.0,0.01,NEG_042
2024-09-01,10:30,10:45,7.044,8.0,61.57,NEG_043
2024-09-01,10:45,11:00,3.38,7.0,50.0,NEG_044
2024-09-01,11:00,11:15,6.76,10.0,50.0,NEG_045
2024-09-01,11:15,11:30,7.68,10.0,50.0,NEG_046
2024-09-01,11:30,11:45,6.896,7.0,50.0,NEG_047
2024-09-01,11:45,12:00,5.416,8.0,50.0,NEG_048
2024-09-01,12:00,12:15,16.064,18.0,28.3,NEG_049
2024-09-01,12:15,12:30,14.772,15.0,-39.32,NEG_050
2024-09-01,12:30,12:45,10.9,11.0,-33.53,NEG_051
2024-09-01,12:45,13:00,13.888,16.0,-36.89,NEG_052
2024-09-01,13:00,13:15,10.776,11.0,-27.35,NEG_053
2024-09-01,13:15,13:30,10.12,11.0,-33.74,NEG_054
2024-09-01,13:30,13:45,8.116,11.0,-27.87,NEG_055
2024-09-01,13:45,14:00,8.544,11.0,-27.26,NEG_056
2024-09-01,14:00,14:15,7.268,11.0,-26.93,NEG_057
2024-09-01,14:15,14:30,7.496,11.0,-25.35,NEG_058
2024-09-01,14:30,14:45,5.676,10.0,-39.0,NEG_059
2024-09-01,14:45,15:00,3.964,6.0,-30.11,NEG_060
2024-09-01,15:00,15:15,2.924,6.0,-7.58,NEG_061
2024-09-01,15:15,15:30,4.504,6.0,-29.35,NEG_062
2024-09-01,15:30,15:45,7.076,10.0,-41.94,NEG_063
2024-09-01,15:45,16:00,4.34,6.0,-37.35,NEG_064
2024-09-01,16:00,16:15,39.524,41.0,-2.21,NEG_065
2024-09-01,16:15,16:30,40.76,41.0,-7.56,NEG_066
2024-09-01,16:30,16:45,16.404,20.0,-37.13,NEG_067
2024-09-01,16:45,17:00,28.124,30.0,-50.67,NEG_068
2024-09-01,17:00,17:15,30.076,31.0,-20.61,NEG_069
2024-09-01,17:15,17:30,20.728,21.0,-31.17,NEG_070
2024-09-01,17:30,17:45,7.916,10.0,-51.0,NEG_071
2024-09-01,17:45,18:00,0.004,5.0,-51.0,NEG_072
2024-09-01,18:00,18:15,0.232,1.0,-51.34,NEG_073
2024-09-01,18:15,18:30,0.012,1.0,-51.34,NEG_074
2024-09-01,18:30,18:45,0.0,0.0,,NEG_075
2024-09-01,18:45,19:00,0.0,0.0,,NEG_076
2024-09-01,19:00,19:15,3.356,7.0,-51.0,NEG_077
2024-09-01,19:15,19:30,0.0,0.0,,NEG_078
2024-09-01,19:30,19:45,0.0,0.0,,NEG_079
2024-09-01,19:45,20:00,83.4,88.0,-16.82,NEG_080
2024-09-01,20:00,20:15,140.632,144.0,9.21,NEG_081
2024-09-01,20:15,20:30,0.28,1.0,-49.34,NEG_082
2024-09-01,20:30,20:45,0.0,0.0,,NEG_083
2024-09-01,20:45,21:00,11.04,13.0,-40.46,NEG_084
2024-09-01,21:00,21:15,31.036,36.0,-39.03,NEG_085
2024-09-01,21:15,21:30,36.528,41.0,-41.08,NEG_086
2024-09-01,21:30,21:45,75.36,78.0,-27.89,NEG_087
2024-09-01,21:45,22:00,83.308,88.0,-26.7,NEG_088
2024-09-01,22:00,22:15,8.984,11.0,-48.86,NEG_089
2024-09-01,22:15,22:30,45.26,48.0,-31.37,NEG_090
2024-09-01,22:30,22:45,50.232,53.0,-24.32,NEG_091
2024-09-01,22:45,23:00,29.964,33.0,-32.39,NEG_092
2024-09-01,23:00,23:15,0.804,1.0,-94.25,NEG_093
2024-09-01,23:15,23:30,3.056,5.0,-47.82,NEG_094
2024-09-01,23:30,23:45,2.664,6.0,-48.03,NEG_095
2024-09-01,23:45,00:00,0.012,1.0,-48.34,NEG_096
