Datum;von;bis;50Hertz (Negativ)
2024-09-01;00:00;00:15;4,364
2024-09-01;00:15;00:30;10,052
2024-09-01;00:30;00:45;53,048
2024-09-01;00:45;01:00;118,184
2024-09-01;01:00;01:15;41,14
2024-09-01;01:15;01:30;67,368
2024-09-01;01:30;01:45;35,104
2024-09-01;01:45;02:00;22,564
2024-09-01;02:00;02:15;4,852
2024-09-01;02:15;02:30;0,0
2024-09-01;02:30;02:45;0,32
2024-09-01;02:45;03:00;12,712
2024-09-01;03:00;03:15;9,108
2024-09-01;03:15;03:30;30,784
2024-09-01;03:30;03:45;11,78
2024-09-01;03:45;04:00;9,016
2024-09-01;04:00;04:15;0,516
2024-09-01;04:15;04:30;0,0
2024-09-01;04:30;04:45;0,048
2024-09-01;04:45;05:00;0,0
2024-09-01;05:00;05:15;0,012
2024-09-01;05:15;05:30;0,0
2024-09-01;05:30;05:45;0,316
2024-09-01;05:45;06:00;0,044
2024-09-01;06:00;06:15;0,0
2024-09-01;06:15;06:30;0,056
2024-09-01;06:30;06:45;0,708
2024-09-01;06:45;07:00;0,9
2024-09-01;07:00;07:15;0,0
2024-09-01;07:15;07:30;0,0
2024-09-01;07:30;07:45;0,0
2024-09-01;07:45;08:00;0,0
2024-09-01;08:00;08:15;0,788
2024-09-01;08:15;08:30;0,0
2024-09-01;08:30;08:45;0,0
2024-09-01;08:45;09:00;0,0
2024-09-01;09:00;09:15;0,0
2024-09-01;09:15;09:30;0,0
2024-09-01;09:30;09:45;4,632
2024-09-01;09:45;10:00;0,492
2024-09-01;10:00;10:15;0,808
2024-09-01;10:15;10:30;0,312
2024-09-01;10:30;10:45;7,044
2024-09-01;10:45;11:00;3,38
2024-09-01;11:00;11:15;6,76
2024-09-01;11:15;11:30;7,68
2024-09-01;11:30;11:45;6,896
2024-09-01;11:45;12:00;5,416
2024-09-01;12:00;12:15;16,064
2024-09-01;12:15;12:30;14,772
2024-09-01;12:30;12:45;10,9
2024-09-01;12:45;13:00;13,888
2024-09-01;13:00;13:15;10,776
2024-09-01;13:15;13:30;10,12
2024-09-01;13:30;13:45;8,116
2024-09-01;13:45;14:00;8,544
2024-09-01;14:00;14:15;7,268
2024-09-01;14:15;14:30;7,496
2024-09-01;14:30;14:45;5,676
2024-09-01;14:45;15:00;3,964
2024-09-01;15:00;15:15;2,924
2024-09-01;15:15;15:30;4,504
2024-09-01;15:30;15:45;7,076
2024-09-01;15:45;16:00;4,34
2024-09-01;16:00;16:15;39,524
2024-09-01;16:15;16:30;40,76
2024-09-01;16:30;16:45;16,404
2024-09-01;16:45;17:00;28,124
2024-09-01;17:00;17:15;30,076
2024-09-01;17:15;17:30;20,728
2024-09-01;17:30;17:45;7,916
2024-09-01;17:45;18:00;0,004
2024-09-01;18:00;18:15;0,232
2024-09-01;18:15;18:30;0,012
2024-09-01;18:30;18:45;0,0
2024-09-01;18:45;19:00;0,0
2024-09-01;19:00;19:15;3,356
2024-09-01;19:15;19:30;0,0
2024-09-01;19:30;19:45;0,0
2024-09-01;19:45;20:00;83,4
2024-09-01;20:00;20:15;140,632
2024-09-01;20:15;20:30;0,28
2024-09-01;20:30;20:45;0,0
2024-09-01;20:45;21:00;11,04
2024-09-01;21:00;21:15;31,036
2024-09-01;21:15;21:30;36,528
2024-09-01;21:30;21:45;75,36
2024-09-01;21:45;22:00;83,308
2024-09-01;22:00;22:15;8,984
2024-09-01;22:15;22:30;45,26
2024-09-01;22:30;22:45;50,232
2024-09-01;22:45;23:00;29,964
2024-09-01;23:00;23:15;0,804
2024-09-01;23:15;23:30;3,056
2024-09-01;23:30;23:45;2,664
2024-09-01;23:45;00:00;0,012
2024-09-02;00:00;00:15;124,312
2024-09-02;00:15;00:30;90,268
2024-09-02;00:30;00:45;12,828
2024-09-02;00:45;01:00;3,56
2024-09-02;01:00;01:15;2,488
2024-09-02;01:15;01:30;14,724
2024-09-02;01:30;01:45;19,428
2024-09-02;01:45;02:00;25,808
2024-09-02;02:00;02:15;38,5
2024-09-02;02:15;02:30;17,608
2024-09-02;02:30;02:45;7,984
2024-09-02;02:45;03:00;7,932
2024-09-02;03:00;03:15;0,036
2024-09-02;03:15;03:30;13,632
2024-09-02;03:30;03:45;0,632
2024-09-02;03:45;04:00;21,8
2024-09-02;04:00;04:15;0,732
2024-09-02;04:15;04:30;0,08
2024-09-02;04:30;04:45;0,428
2024-09-02;04:45;05:00;7,644
2024-09-02;05:00;05:15;3,804
2024-09-02;05:15;05:30;0,0
2024-09-02;05:30;05:45;0,0
2024-09-02;05:45;06:00;6,84
2024-09-02;06:00;06:15;18,332
2024-09-02;06:15;06:30;0,0
2024-09-02;06:30;06:45;0,0
2024-09-02;06:45;07:00;0,0
2024-09-02;07:00;07:15;35,952
2024-09-02;07:15;07:30;3,848
2024-09-02;07:30;07:45;0,796
2024-09-02;07:45;08:00;0,008
2024-09-02;08:00;08:15;0,0
2024-09-02;08:15;08:30;3,268
2024-09-02;08:30;08:45;2,204
2024-09-02;08:45;09:00;0,1
2024-09-02;09:00;09:15;0,416
2024-09-02;09:15;09:30;0,488
2024-09-02;09:30;09:45;0,0
2024-09-02;09:45;10:00;0,0
2024-09-02;10:00;10:15;0,0
2024-09-02;10:15;10:30;0,272
2024-09-02;10:30;10:45;0,052
2024-09-02;10:45;11:00;0,0
2024-09-02;11:00;11:15;0,0
2024-09-02;11:15;11:30;0,0
2024-09-02;11:30;11:45;0,076
2024-09-02;11:45;12:00;66,756
2024-09-02;12:00;12:15;73,068
2024-09-02;12:15;12:30;62,62
2024-09-02;12:30;12:45;30,588
2024-09-02;12:45;13:00;32,268
2024-09-02;13:00;13:15;15,932
2024-09-02;13:15;13:30;0,0
2024-09-02;13:30;13:45;0,0
2024-09-02;13:45;14:00;0,348
2024-09-02;14:00;14:15;111,12
2024-09-02;14:15;14:30;96,78
2024-09-02;14:30;14:45;13,984
2024-09-02;14:45;15:00;20,684
2024-09-02;15:00;15:15;89,98
2024-09-02;15:15;15:30;16,304
2024-09-02;15:30;15:45;3,164
2024-09-02;15:45;16:00;0,0
2024-09-02;16:00;16:15;0,0
2024-09-02;16:15;16:30;0,0
2024-09-02;16:30;16:45;0,0
2024-09-02;16:45;17:00;10,568
2024-09-02;17:00;17:15;16,06
2024-09-02;17:15;17:30;11,496
2024-09-02;17:30;17:45;0,048
2024-09-02;17:45;18:00;0,344
2024-09-02;18:00;18:15;0,0
2024-09-02;18:15;18:30;4,404
2024-09-02;18:30;18:45;2,864
2024-09-02;18:45;19:00;0,0
2024-09-02;19:00;19:15;0,0
2024-09-02;19:15;19:30;0,0
2024-09-02;19:30;19:45;0,0
2024-09-02;19:45;20:00;2,22
2024-09-02;20:00;20:15;1,424
2024-09-02;20:15;20:30;1,376
2024-09-02;20:30;20:45;17,304
2024-09-02;20:45;21:00;23,252
2024-09-02;21:00;21:15;17,8
2024-09-02;21:15;21:30;39,676
2024-09-02;21:30;21:45;33,496
2024-09-02;21:45;22:00;8,816
2024-09-02;22:00;22:15;0,448
2024-09-02;22:15;22:30;0,016
2024-09-02;22:30;22:45;0,0
2024-09-02;22:45;23:00;0,0
2024-09-02;23:00;23:15;9,776
2024-09-02;23:15;23:30;82,412
2024-09-02;23:30;23:45;15,124
2024-09-02;23:45;00:00;1,9
2024-09-03;00:00;00:15;1,344
2024-09-03;00:15;00:30;0,22
2024-09-03;00:30;00:45;0,668
2024-09-03;00:45;01:00;0,0
2024-09-03;01:00;01:15;0,0
2024-09-03;01:15;01:30;0,0
2024-09-03;01:30;01:45;0,0
2024-09-03;01:45;02:00;1,324
2024-09-03;02:00;02:15;1,892
2024-09-03;02:15;02:30;0,644
2024-09-03;02:30;02:45;0,012
2024-09-03;02:45;03:00;0,38
2024-09-03;03:00;03:15;0,0
2024-09-03;03:15;03:30;0,568
2024-09-03;03:30;03:45;0,168
2024-09-03;03:45;04:00;0,0
2024-09-03;04:00;04:15;15,556
2024-09-03;04:15;04:30;50,652
2024-09-03;04:30;04:45;4,904
2024-09-03;04:45;05:00;22,812
2024-09-03;05:00;05:15;20,376
2024-09-03;05:15;05:30;1,296
2024-09-03;05:30;05:45;0,004
2024-09-03;05:45;06:00;0,152
2024-09-03;06:00;06:15;0,0
2024-09-03;06:15;06:30;0,0
2024-09-03;06:30;06:45;0,0
2024-09-03;06:45;07:00;0,0
2024-09-03;07:00;07:15;0,0
2024-09-03;07:15;07:30;0,0
2024-09-03;07:30;07:45;0,0
2024-09-03;07:45;08:00;0,576
2024-09-03;08:00;08:15;0,0
2024-09-03;08:15;08:30;10,636
2024-09-03;08:30;08:45;11,9
2024-09-03;08:45;09:00;20,124
2024-09-03;09:00;09:15;44,184
2024-09-03;09:15;09:30;13,368
2024-09-03;09:30;09:45;0,248
2024-09-03;09:45;10:00;0,024
2024-09-03;10:00;10:15;7,564
2024-09-03;10:15;10:30;4,38
2024-09-03;10:30;10:45;0,0
2024-09-03;10:45;11:00;0,396
2024-09-03;11:00;11:15;5,328
2024-09-03;11:15;11:30;27,524
2024-09-03;11:30;11:45;19,86
2024-09-03;11:45;12:00;0,016
2024-09-03;12:00;12:15;0,0
2024-09-03;12:15;12:30;2,608
2024-09-03;12:30;12:45;15,572
2024-09-03;12:45;13:00;6,952
2024-09-03;13:00;13:15;0,0
2024-09-03;13:15;13:30;0,0
2024-09-03;13:30;13:45;0,0
2024-09-03;13:45;14:00;0,592
2024-09-03;14:00;14:15;1,512
2024-09-03;14:15;14:30;0,0
2024-09-03;14:30;14:45;0,1
2024-09-03;14:45;15:00;0,012
2024-09-03;15:00;15:15;0,032
2024-09-03;15:15;15:30;14,82
2024-09-03;15:30;15:45;0,0
2024-09-03;15:45;16:00;0,0
2024-09-03;16:00;16:15;0,0
2024-09-03;16:15;16:30;0,0
2024-09-03;16:30;16:45;0,0
2024-09-03;16:45;17:00;42,36
2024-09-03;17:00;17:15;37,404
2024-09-03;17:15;17:30;9,564
2024-09-03;17:30;17:45;1,864
2024-09-03;17:45;18:00;7,104
2024-09-03;18:00;18:15;11,416
2024-09-03;18:15;18:30;44,168
2024-09-03;18:30;18:45;37,692
2024-09-03;18:45;19:00;40,816
2024-09-03;19:00;19:15;8,032
2024-09-03;19:15;19:30;0,0
2024-09-03;19:30;19:45;0,0
2024-09-03;19:45;20:00;0,0
2024-09-03;20:00;20:15;0,0
2024-09-03;20:15;20:30;0,0
2024-09-03;20:30;20:45;0,0
2024-09-03;20:45;21:00;0,0
2024-09-03;21:00;21:15;1,548
2024-09-03;21:15;21:30;2,4
2024-09-03;21:30;21:45;20,988
2024-09-03;21:45;22:00;40,884
2024-09-03;22:00;22:15;14,516
2024-09-03;22:15;22:30;20,78
2024-09-03;22:30;22:45;1,132
2024-09-03;22:45;23:00;38,236
2024-09-03;23:00;23:15;10,672
2024-09-03;23:15;23:30;0,008
2024-09-03;23:30;23:45;0,456
2024-09-03;23:45;00:00;0,0
2024-09-04;00:00;00:15;0,0
2024-09-04;00:15;00:30;0,0
2024-09-04;00:30;00:45;0,0
2024-09-04;00:45;01:00;0,0
2024-09-04;01:00;01:15;0,912
2024-09-04;01:15;01:30;0,196
2024-09-04;01:30;01:45;0,456
2024-09-04;01:45;02:00;0,0
2024-09-04;02:00;02:15;1,972
2024-09-04;02:15;02:30;1,516
2024-09-04;02:30;02:45;0,108
2024-09-04;02:45;03:00;14,444
2024-09-04;03:00;03:15;5,172
2024-09-04;03:15;03:30;0,036
2024-09-04;03:30;03:45;0,012
2024-09-04;03:45;04:00;0,0
2024-09-04;04:00;04:15;0,496
2024-09-04;04:15;04:30;2,844
2024-09-04;04:30;04:45;0,0
2024-09-04;04:45;05:00;0,052
2024-09-04;05:00;05:15;32,564
2024-09-04;05:15;05:30;20,392
2024-09-04;05:30;05:45;117,72
2024-09-04;05:45;06:00;7,664
2024-09-04;06:00;06:15;12,356
2024-09-04;06:15;06:30;0,0
2024-09-04;06:30;06:45;0,0
2024-09-04;06:45;07:00;0,0
2024-09-04;07:00;07:15;0,36
2024-09-04;07:15;07:30;0,368
2024-09-04;07:30;07:45;29,736
2024-09-04;07:45;08:00;18,06
2024-09-04;08:00;08:15;0,032
2024-09-04;08:15;08:30;0,0
2024-09-04;08:30;08:45;3,504
2024-09-04;08:45;09:00;0,024
2024-09-04;09:00;09:15;0,0
2024-09-04;09:15;09:30;0,04
2024-09-04;09:30;09:45;0,34
2024-09-04;09:45;10:00;0,016
2024-09-04;10:00;10:15;0,392
2024-09-04;10:15;10:30;9,7
2024-09-04;10:30;10:45;5,552
2024-09-04;10:45;11:00;14,38
2024-09-04;11:00;11:15;50,16
2024-09-04;11:15;11:30;190,956
2024-09-04;11:30;11:45;176,508
2024-09-04;11:45;12:00;32,004
2024-09-04;12:00;12:15;1,184
2024-09-04;12:15;12:30;0,04
2024-09-04;12:30;12:45;2,956
2024-09-04;12:45;13:00;49,916
2024-09-04;13:00;13:15;9,652
2024-09-04;13:15;13:30;3,9
2024-09-04;13:30;13:45;14,748
2024-09-04;13:45;14:00;8,576
2024-09-04;14:00;14:15;0,012
2024-09-04;14:15;14:30;0,0
2024-09-04;14:30;14:45;0,0
2024-09-04;14:45;15:00;0,0
2024-09-04;15:00;15:15;0,0
2024-09-04;15:15;15:30;3,312
2024-09-04;15:30;15:45;0,192
2024-09-04;15:45;16:00;0,0
2024-09-04;16:00;16:15;0,0
2024-09-04;16:15;16:30;0,0
2024-09-04;16:30;16:45;0,0
2024-09-04;16:45;17:00;29,224
2024-09-04;17:00;17:15;40,236
2024-09-04;17:15;17:30;11,5
2024-09-04;17:30;17:45;9,788
2024-09-04;17:45;18:00;0,052
2024-09-04;18:00;18:15;0,0
2024-09-04;18:15;18:30;0,0
2024-09-04;18:30;18:45;0,0
2024-09-04;18:45;19:00;0,012
2024-09-04;19:00;19:15;0,0
2024-09-04;19:15;19:30;0,0
2024-09-04;19:30;19:45;0,0
2024-09-04;19:45;20:00;0,0
2024-09-04;20:00;20:15;0,0
2024-09-04;20:15;20:30;0,0
2024-09-04;20:30;20:45;0,128
2024-09-04;20:45;21:00;47,796
2024-09-04;21:00;21:15;66,392
2024-09-04;21:15;21:30;71,592
2024-09-04;21:30;21:45;64,976
2024-09-04;21:45;22:00;72,276
2024-09-04;22:00;22:15;0,244
2024-09-04;22:15;22:30;6,292
2024-09-04;22:30;22:45;2,936
2024-09-04;22:45;23:00;0,156
2024-09-04;23:00;23:15;32,844
2024-09-04;23:15;23:30;137,656
2024-09-04;23:30;23:45;45,052
2024-09-04;23:45;00:00;1,5
2024-09-05;00:00;00:15;0,0
2024-09-05;00:15;00:30;0,02
2024-09-05;00:30;00:45;7,408
2024-09-05;00:45;01:00;6,828
2024-09-05;01:00;01:15;7,312
2024-09-05;01:15;01:30;12,556
2024-09-05;01:30;01:45;9,412
2024-09-05;01:45;02:00;36,088
2024-09-05;02:00;02:15;10,168
2024-09-05;02:15;02:30;5,824
2024-09-05;02:30;02:45;0,916
2024-09-05;02:45;03:00;0,0
2024-09-05;03:00;03:15;0,0
2024-09-05;03:15;03:30;0,128
2024-09-05;03:30;03:45;46,292
2024-09-05;03:45;04:00;106,04
2024-09-05;04:00;04:15;130,264
2024-09-05;04:15;04:30;162,8
2024-09-05;04:30;04:45;107,908
2024-09-05;04:45;05:00;29,044
2024-09-05;05:00;05:15;0,064
2024-09-05;05:15;05:30;0,064
2024-09-05;05:30;05:45;0,428
2024-09-05;05:45;06:00;6,788
2024-09-05;06:00;06:15;57,664
2024-09-05;06:15;06:30;16,936
2024-09-05;06:30;06:45;7,3
2024-09-05;06:45;07:00;62,924
2024-09-05;07:00;07:15;6,764
2024-09-05;07:15;07:30;0,0
2024-09-05;07:30;07:45;0,0
2024-09-05;07:45;08:00;0,0
2024-09-05;08:00;08:15;0,0
2024-09-05;08:15;08:30;0,0
2024-09-05;08:30;08:45;0,0
2024-09-05;08:45;09:00;0,0
2024-09-05;09:00;09:15;23,004
2024-09-05;09:15;09:30;10,932
2024-09-05;09:30;09:45;12,304
2024-09-05;09:45;10:00;17,268
2024-09-05;10:00;10:15;37,776
2024-09-05;10:15;10:30;18,464
2024-09-05;10:30;10:45;18,72
2024-09-05;10:45;11:00;31,152
2024-09-05;11:00;11:15;0,328
2024-09-05;11:15;11:30;1,94
2024-09-05;11:30;11:45;26,58
2024-09-05;11:45;12:00;41,244
2024-09-05;12:00;12:15;11,88
2024-09-05;12:15;12:30;6,036
2024-09-05;12:30;12:45;0,636
2024-09-05;12:45;13:00;5,772
2024-09-05;13:00;13:15;0,668
2024-09-05;13:15;13:30;1,62
2024-09-05;13:30;13:45;1,408
2024-09-05;13:45;14:00;1,44
2024-09-05;14:00;14:15;0,0
2024-09-05;14:15;14:30;0,436
2024-09-05;14:30;14:45;0,544
2024-09-05;14:45;15:00;0,4
2024-09-05;15:00;15:15;1,488
2024-09-05;15:15;15:30;2,596
2024-09-05;15:30;15:45;0,512
2024-09-05;15:45;16:00;0,0
2024-09-05;16:00;16:15;0,0
2024-09-05;16:15;16:30;1,196
2024-09-05;16:30;16:45;0,0
2024-09-05;16:45;17:00;0,0
2024-09-05;17:00;17:15;1,444
2024-09-05;17:15;17:30;0,0
2024-09-05;17:30;17:45;0,0
2024-09-05;17:45;18:00;0,0
2024-09-05;18:00;18:15;23,156
2024-09-05;18:15;18:30;26,844
2024-09-05;18:30;18:45;38,944
2024-09-05;18:45;19:00;8,316
2024-09-05;19:00;19:15;6,52
2024-09-05;19:15;19:30;5,04
2024-09-05;19:30;19:45;4,324
2024-09-05;19:45;20:00;38,64
2024-09-05;20:00;20:15;0,0
2024-09-05;20:15;20:30;15,244
2024-09-05;20:30;20:45;18,7
2024-09-05;20:45;21:00;45,8
2024-09-05;21:00;21:15;163,936
2024-09-05;21:15;21:30;171,66
2024-09-05;21:30;21:45;206,672
2024-09-05;21:45;22:00;179,336
2024-09-05;22:00;22:15;21,032
2024-09-05;22:15;22:30;17,384
2024-09-05;22:30;22:45;36,952
2024-09-05;22:45;23:00;60,736
2024-09-05;23:00;23:15;11,128
2024-09-05;23:15;23:30;1,996
2024-09-05;23:30;23:45;1,116
2024-09-05;23:45;00:00;0,412
2024-09-06;00:00;00:15;0,0
2024-09-06;00:15;00:30;0,0
2024-09-06;00:30;00:45;0,0
2024-09-06;00:45;01:00;0,0
2024-09-06;01:00;01:15;1,668
2024-09-06;01:15;01:30;1,22
2024-09-06;01:30;01:45;0,908
2024-09-06;01:45;02:00;0,308
2024-09-06;02:00;02:15;0,468
2024-09-06;02:15;02:30;0,016
2024-09-06;02:30;02:45;2,66
2024-09-06;02:45;03:00;0,0
2024-09-06;03:00;03:15;0,0
2024-09-06;03:15;03:30;0,0
2024-09-06;03:30;03:45;0,0
2024-09-06;03:45;04:00;0,0
2024-09-06;04:00;04:15;0,008
2024-09-06;04:15;04:30;0,0
2024-09-06;04:30;04:45;0,0
2024-09-06;04:45;05:00;0,0
2024-09-06;05:00;05:15;0,0
2024-09-06;05:15;05:30;0,0
2024-09-06;05:30;05:45;0,032
2024-09-06;05:45;06:00;0,0
2024-09-06;06:00;06:15;0,0
2024-09-06;06:15;06:30;0,0
2024-09-06;06:30;06:45;0,0
2024-09-06;06:45;07:00;0,0
2024-09-06;07:00;07:15;0,0
2024-09-06;07:15;07:30;0,0
2024-09-06;07:30;07:45;0,0
2024-09-06;07:45;08:00;0,0
2024-09-06;08:00;08:15;4,18
2024-09-06;08:15;08:30;21,356
2024-09-06;08:30;08:45;53,456
2024-09-06;08:45;09:00;11,104
2024-09-06;09:00;09:15;1,096
2024-09-06;09:15;09:30;0,0
2024-09-06;09:30;09:45;0,024
2024-09-06;09:45;10:00;0,044
2024-09-06;10:00;10:15;0,108
2024-09-06;10:15;10:30;21,136
2024-09-06;10:30;10:45;7,724
2024-09-06;10:45;11:00;0,724
2024-09-06;11:00;11:15;3,448
2024-09-06;11:15;11:30;0,028
2024-09-06;11:30;11:45;8,34
2024-09-06;11:45;12:00;57,316
2024-09-06;12:00;12:15;46,312
2024-09-06;12:15;12:30;31,888
2024-09-06;12:30;12:45;0,0
2024-09-06;12:45;13:00;4,524
2024-09-06;13:00;13:15;0,0
2024-09-06;13:15;13:30;1,804
2024-09-06;13:30;13:45;15,548
2024-09-06;13:45;14:00;22,564
2024-09-06;14:00;14:15;4,156
2024-09-06;14:15;14:30;45,8
2024-09-06;14:30;14:45;15,508
2024-09-06;14:45;15:00;0,0
2024-09-06;15:00;15:15;0,0
2024-09-06;15:15;15:30;0,0
2024-09-06;15:30;15:45;0,0
2024-09-06;15:45;16:00;0,0
2024-09-06;16:00;16:15;50,436
2024-09-06;16:15;16:30;29,72
2024-09-06;16:30;16:45;8,48
2024-09-06;16:45;17:00;40,112
2024-09-06;17:00;17:15;14,86
2024-09-06;17:15;17:30;17,464
2024-09-06;17:30;17:45;0,0
2024-09-06;17:45;18:00;44,792
2024-09-06;18:00;18:15;0,08
2024-09-06;18:15;18:30;11,096
2024-09-06;18:30;18:45;14,492
2024-09-06;18:45;19:00;8,928
2024-09-06;19:00;19:15;0,0
2024-09-06;19:15;19:30;0,0
2024-09-06;19:30;19:45;40,32
2024-09-06;19:45;20:00;76,136
2024-09-06;20:00;20:15;82,84
2024-09-06;20:15;20:30;19,696
2024-09-06;20:30;20:45;19,308
2024-09-06;20:45;21:00;47,436
2024-09-06;21:00;21:15;28,904
2024-09-06;21:15;21:30;61,456
2024-09-06;21:30;21:45;122,048
2024-09-06;21:45;22:00;80,532
2024-09-06;22:00;22:15;67,112
2024-09-06;22:15;22:30;54,94
2024-09-06;22:30;22:45;22,224
2024-09-06;22:45;23:00;35,52
2024-09-06;23:00;23:15;15,524
